t x y kx ky
0 0 0 1 -1  
1 0.930701781965373 -0.930701781965373 1 -1  
2 1.861403563930746 -1.861403563930746 1 -1  
3 2.792105345896119 -2.792105345896119 1 -1  
4 3.722807127861492 -3.722807127861492 1 -1  
5 4.653508909826865 -4.653508909826865 1 -1  
6 5.584210691792238 -5.584210691792238 1 -1  
7 6.514912473757612 -6.514912473757612 1 -1  
8 7.445614255722985 -7.445614255722985 1 -1  
9 8.376316037688358 -8.376316037688358 1 -1  
10 9.307017819653732 -9.307017819653732 1 -1  
